Age,Nx,Dx,qx,sx,lx,dx,Nfx,Nox,mx
0,580,131,0.225862069,0.774137931,1,0.225862069,492.91,0,0
1,428,56,0.130841121,0.869158879,0.774137931,0.101289075,400.44,0,0
2,355,27,0.076056338,0.923943662,0.672848856,0.05117442,336.17,0,0
3,314,16,0.050955414,0.949044586,0.621674436,0.031677678,303.46,0,0
4,288,11,0.038194444,0.961805556,0.589996758,0.022534598,281.84,3,0.005
5,264,13,0.049242424,0.950757576,0.567462159,0.027943212,253.53,107.23,0.211
6,235,12,0.05106383,0.94893617,0.539518947,0.027549904,224.27,118.42,0.264
7,208,7,0.033653846,0.966346154,0.511969043,0.017229727,199,108.33,0.272
8,196,12,0.06122449,0.93877551,0.494739316,0.030290162,183.42,102.31,0.279
9,182,8,0.043956044,0.956043956,0.464449154,0.020415347,171.77,96.38,0.281
10,168,8,0.047619048,0.952380952,0.444033806,0.021144467,158.6,85.29,0.269
11,152,10,0.065789474,0.934210526,0.422889339,0.027821667,140.53,77.48,0.276
12,136,10,0.073529412,0.926470588,0.395067672,0.029049094,123.85,71.85,0.29
13,118,8,0.06779661,0.93220339,0.366018579,0.024814819,104.89,61.09,0.291
14,101,11,0.108910891,0.891089109,0.34120376,0.037160806,88.73,50.52,0.285
15,83,7,0.084337349,0.915662651,0.304042954,0.025642177,73.47,40.21,0.274
16,70,7,0.1,0.9,0.278400777,0.027840078,59.82,31.47,0.263
17,57,9,0.157894737,0.842105263,0.2505607,0.039562216,46.68,25.31,0.271
18,44,9,0.204545455,0.795454545,0.210998484,0.043158781,34.92,18.91,0.271
19,32,6,0.1875,0.8125,0.167839703,0.031469944,27.98,13.2,0.236
20,24,2,0.083333333,0.916666667,0.136369759,0.011364147,21.45,10,0.233
21,20,7,0.35,0.65,0.125005612,0.043751964,17.08,8.86,0.259
22,12,2,0.166666667,0.833333333,0.081253648,0.013542275,10.65,1,0.047
23,10,1,0.1,0.9,0.067711373,0.006771137,9.3,2,0.108
24,8,3,0.375,0.625,0.060940236,0.022852588,5.61,0,0
25,5,2,0.4,0.6,0.038087647,0.015235059,3.44,0,0
26,3,2,0.666666667,0.333333333,0.022852588,0.015235059,2.26,0,0
27,1,1,1,0,0.007617529,0.007617529,0.68,0,0
