"Age","Nx","Dx","qx","sx","dx","lx","ex","mx"
0,992,157,0.158266129032258,0.841733870967742,0.158266129032258,1,19.6787784983726,0
1,839,65,0.0774731823599523,0.922526817640048,0.0652118016840325,0.841733870967742,22.2848482280067,0
2,771,47,0.0609597924773022,0.939040207522698,0.0473366241975802,0.776522069283709,23.1143251463794,0
3,462,4,0.00865800865800866,0.991341991341991,0.00631329389684965,0.729185445086129,23.5823821655504,0
4,457,2,0.00437636761487965,0.99562363238512,0.00316355427216319,0.72287215118928,22.7839750228914,0
5,453,5,0.011037527593819,0.988962472406181,0.00794380349798141,0.719708596917116,21.8819265614536,0
6,445,5,0.0112359550561798,0.98876404494382,0.00799735722942851,0.711764793419135,21.1205641346841,0
7,434,6,0.0138248847926267,0.986175115207373,0.00972950372612502,0.703767436189706,20.3548887271237,0
8,421,7,0.0166270783847981,0.983372921615202,0.0115398231050953,0.694037932463581,19.6332282887189,0
9,406,9,0.0221674876847291,0.977832512315271,0.0151292684340552,0.682498109358486,18.956736979591,0
10,392,7,0.0178571428571429,0.982142857142857,0.0119173007307934,0.667368840924431,18.3751516718235,0
11,381,5,0.0131233595800525,0.986876640419947,0.00860172624926037,0.655451540193638,17.700154429493,0.0499108734402852
12,367,11,0.0299727520435967,0.970027247956403,0.0193878690828015,0.646849813944377,16.928879887332,0.144980468009254
13,350,9,0.0257142857142857,0.974285714285714,0.0161347357250119,0.627461944861576,16.436513816435,0.0764680101062658
14,338,8,0.0236686390532544,0.976331360946746,0.0144692830564868,0.611327209136564,15.8571256180418,0.0642160042214709
15,330,3,0.00909090909090909,0.990909090909091,0.00542598114618253,0.596857926080077,15.2294195724185,0.0840429657942281
16,324,7,0.0216049382716049,0.978395061728395,0.012777850662152,0.591431944933895,14.3645518620738,0.114314524674239
17,309,9,0.029126213592233,0.970873786407767,0.0168540027457789,0.578654094271743,13.6707091587126,0.0904558607781504
18,295,14,0.0474576271186441,0.952542372881356,0.0266616992588593,0.561800091525964,13.065830433474,0.054348896350872
19,272,14,0.0514705882352941,0.948529411764706,0.0275438878372775,0.535138392267104,12.6918860422592,0.0774340528842495
20,251,12,0.047808764940239,0.952191235059761,0.0242674663472427,0.507594504429827,12.3534612538546,0.0816359007151778
21,233,9,0.0386266094420601,0.96137339055794,0.0186692847328037,0.483327038082584,11.948614120157,0.103784200578886
22,217,14,0.0645161290322581,0.935483870967742,0.0299779195709536,0.464657753349781,11.4086030803418,0.0797921619745667
23,199,9,0.0452261306532663,0.954773869346734,0.0196588869548213,0.434679833778827,11.1609205341585,0.135468640106922
24,187,7,0.0374331550802139,0.962566844919786,0.0155355434640002,0.415020946824006,10.6659115068292,0.0893353624720693
25,176,6,0.0340909090909091,0.965909090909091,0.0136188205690911,0.399485403360005,10.0612525098725,0.103728281981458
26,166,6,0.036144578313253,0.963855421686747,0.0139469849201536,0.385866582790914,9.39870848080921,0.0395644716412249
27,156,10,0.0641025641025641,0.935897435897436,0.0238409998635103,0.371919597870761,8.73241004883955,0.105552358271411
28,142,7,0.0492957746478873,0.950704225352113,0.017158804127118,0.34807859800725,8.29627375081487,0.0438596557200839
29,133,9,0.0676691729323308,0.932330827067669,0.022393068758806,0.330919793880132,7.7005249823386,0.09226772018151
30,120,9,0.075,0.925,0.0231395043840995,0.308526725121327,7.22314373105672,0.0565511833370545
31,110,7,0.0636363636363636,0.936363636363636,0.0181610049560054,0.285387220737227,6.7682634930343,0.0840625698253513
32,97,14,0.144329896907216,0.855670103092784,0.0385687321746093,0.267226215781222,6.19426198285216,0.0326456581846024
33,81,4,0.0493827160493827,0.950617283950617,0.0112917275855117,0.228657483606612,6.1547399076706,0.114456464237582
34,75,12,0.16,0.84,0.0347785209633761,0.217365756021101,5.44849263014699,0.0200670424312644
35,61,11,0.180327868852459,0.819672131147541,0.0329255669776224,0.182587235057725,5.39106265493689,0.0358340043415435
36,49,3,0.0612244897959184,0.938775510204082,0.00916295927021032,0.149661668080102,5.46709643902301,0
37,44,4,0.0909090909090909,0.909090909090909,0.0127726098918083,0.140498708809892,4.79103751113321,0.0620915008561586
38,38,7,0.184210526315789,0.815789473684211,0.0235284919059627,0.127726098918083,4.22014126224653,0
39,30,6,0.2,0.8,0.0208395214024241,0.104197607012121,4.06017316017316,0.020930844643447
40,22,4,0.181818181818182,0.818181818181818,0.0151560155653994,0.0833580856096966,3.95021645021645,0
41,18,2,0.111111111111111,0.888888888888889,0.00757800778269969,0.0682020700442972,3.71693121693122,0
42,14,3,0.214285714285714,0.785714285714286,0.012990870484628,0.0606240622615975,3.11904761904762,0.0359748892309246
43,10,4,0.4,0.6,0.0190532767107878,0.0476331917769695,2.83333333333333,0
44,6,2,0.333333333333333,0.666666666666667,0.00952663835539389,0.0285799150661817,3.38888888888889,0
45,4,0,0,1,0,0.0190532767107878,3.83333333333333,0
46,4,0,0,1,0,0.0190532767107878,2.83333333333333,0
47,3,1,0.333333333333333,0.666666666666667,0.00635109223692926,0.0190532767107878,1.83333333333333,0
48,2,0,0,1,0,0.0127021844738585,1.5,0
49,1,1,1,0,0,0.0127021844738585,0.5,0
